Date,Open,High,Low,Close,Adj Close,Volume
"Nov 08, 2021",4701.48,4714.92,4630.86,4682.85,4682.85,20545980000
"Oct 31, 2021",4610.62,4718.5,4595.06,4697.53,4697.53,21195930000
"Oct 24, 2021",4553.69,4608.08,4537.36,4605.38,4605.38,20648340000
"Oct 17, 2021",4463.72,4559.67,4447.47,4544.9,4544.9,18372450000
"Oct 10, 2021",4385.44,4475.82,4329.92,4471.37,4471.37,17878150000
"Oct 03, 2021",4348.84,4429.97,4278.94,4391.34,4391.34,19344290000
"Sep 26, 2021",4442.12,4457.3,4288.52,4357.04,4357.04,20646370000
"Sep 19, 2021",4402.95,4465.4,4305.91,4455.48,4455.48,20058800000
"Sep 12, 2021",4474.81,4492.99,4427.76,4432.99,4432.99,22890790000
"Sep 05, 2021",4535.38,4535.38,4457.66,4458.58,4458.58,14932410000
"Aug 29, 2021",4513.76,4545.85,4513.76,4535.43,4535.43,18470230000
"Aug 22, 2021",4450.29,4513.33,4450.29,4509.37,4509.37,17595630000
"Aug 15, 2021",4461.65,4480.26,4367.73,4441.67,4441.67,19014210000
"Aug 08, 2021",4437.77,4468.37,4424.74,4468.0,4468.0,17260230000
"Aug 01, 2021",4406.86,4440.82,4373.0,4436.52,4436.52,19171320000
"Jul 25, 2021",4409.58,4429.97,4372.51,4395.26,4395.26,20734210000
"Jul 18, 2021",4296.4,4415.18,4233.13,4411.79,4411.79,21304580000
"Jul 11, 2021",4372.41,4393.68,4322.53,4327.16,4327.16,18977190000
"Jul 04, 2021",4356.46,4371.6,4289.37,4369.55,4369.55,16225570000
"Jun 27, 2021",4284.9,4355.43,4274.67,4352.34,4352.34,19135150000
"Jun 20, 2021",4173.4,4286.12,4173.4,4280.7,4280.7,22845800000
"Jun 13, 2021",4248.31,4257.16,4164.4,4166.45,4166.45,24868180000
"Jun 06, 2021",4229.34,4249.74,4208.41,4247.44,4247.44,22073020000
"May 30, 2021",4216.52,4234.12,4167.93,4229.89,4229.89,20636100000
"May 23, 2021",4170.16,4218.36,4170.16,4204.11,4204.11,23343500000
"May 16, 2021",4169.92,4188.72,4061.41,4155.86,4155.86,20744780000
"May 09, 2021",4228.29,4236.39,4056.88,4173.85,4173.85,22952900000
"May 02, 2021",4191.98,4238.04,4128.59,4232.6,4232.6,21280680000
"Apr 25, 2021",4185.03,4218.78,4174.85,4181.17,4181.17,19845940000
"Apr 18, 2021",4179.8,4194.17,4118.38,4180.17,4180.17,19855210000
"Apr 11, 2021",4124.71,4191.31,4114.82,4185.47,4185.47,19506210000
"Apr 04, 2021",4034.44,4129.48,4034.44,4128.8,4128.8,19754600000
"Mar 28, 2021",3969.31,4020.63,3943.25,4019.87,4019.87,17489870000
"Mar 21, 2021",3916.48,3978.19,3853.5,3974.54,3974.54,24199790000
"Mar 14, 2021",3942.96,3983.87,3886.75,3913.1,3913.1,26950850000
"Mar 08, 2021",3844.39,3960.27,3819.25,3943.34,3943.34,27021810000
"Mar 01, 2021",3842.51,3914.5,3723.34,3841.94,3841.94,30870960000
