Date	Open	High	Low	Close	Adj Close	Volume
Mar 01, 2021	3,842.51	3,914.50	3,723.34	3,841.94	3,841.94	30,870,960,000
Feb 22, 2021	3,885.55	3,928.65	3,789.54	3,811.15	3,811.15	31,300,040,000
Feb 15, 2021	3,939.61	3,950.43	3,885.03	3,906.71	3,906.71	19,428,610,000
Feb 08, 2021	3,892.59	3,937.23	3,884.94	3,934.83	3,934.83	22,779,770,000
Feb 01, 2021	3,731.17	3,894.56	3,725.62	3,886.83	3,886.83	25,573,900,000
Jan 25, 2021	3,851.68	3,870.90	3,694.12	3,714.24	3,714.24	36,751,000,000
Jan 18, 2021	3,781.88	3,861.45	3,780.37	3,841.47	3,841.47	19,193,280,000
Jan 11, 2021	3,803.14	3,823.60	3,749.62	3,768.25	3,768.25	24,631,190,000
Jan 04, 2021	3,764.61	3,826.69	3,662.71	3,824.68	3,824.68	25,542,330,000
Dec 28, 2020	3,723.03	3,760.20	3,723.03	3,756.07	3,756.07	13,262,640,000
Dec 21, 2020	3,684.28	3,711.24	3,636.48	3,703.06	3,703.06	14,464,830,000
Dec 14, 2020	3,675.27	3,726.70	3,645.84	3,709.41	3,709.41	24,367,880,000
Dec 07, 2020	3,694.73	3,712.39	3,633.40	3,663.46	3,663.46	23,655,640,000
Nov 30, 2020	3,634.18	3,699.20	3,594.39	3,699.12	3,699.12	26,933,100,000
Nov 23, 2020	3,566.82	3,644.31	3,552.77	3,638.35	3,638.35	19,026,670,000
Nov 16, 2020	3,600.16	3,628.51	3,543.84	3,557.54	3,557.54	23,992,240,000
Nov 09, 2020	3,583.04	3,645.99	3,511.91	3,585.15	3,585.15	28,872,780,000
Nov 02, 2020	3,296.20	3,529.05	3,279.74	3,509.44	3,509.44	23,047,080,000
Oct 25, 2020	3,441.42	3,441.42	3,233.94	3,269.96	3,269.96	22,860,370,000
Oct 18, 2020	3,493.66	3,502.42	3,415.34	3,465.39	3,465.39	19,936,550,000
Oct 11, 2020	3,500.02	3,549.85	3,440.89	3,483.81	3,483.81	19,317,950,000
Oct 04, 2020	3,367.27	3,482.34	3,354.54	3,477.14	3,477.14	19,772,590,000
Sep 27, 2020	3,333.90	3,397.18	3,323.69	3,348.42	3,348.42	20,402,660,000
Sep 20, 2020	3,285.57	3,323.35	3,209.45	3,298.46	3,298.46	21,594,480,000
Sep 13, 2020	3,363.56	3,428.92	3,292.40	3,319.47	3,319.47	24,071,910,000
